G3757.5	SAMN03253747
G3789.3	SAMN03253749
G3797.2	SAMN03253752
G3805.3	SAMN03253755
G3810.4	SAMN03253758
G3811.2	SAMN03253759
G3814.2	SAMN03253760
G3817.2	SAMN03253761
G3821.2	SAMN03253762
G3838.2	SAMN03253765
G3840.2	SAMN03253766
G3845.2	SAMN03253767
G3851.2	SAMN03253769
G3855.2	SAMN03253771
G3862.2	SAMN03253772
G3873.2	SAMN03253774
G3884.1	SAMN03253782
G3886.1	SAMN03253783
G3889.1	SAMN03253784
G3890.1	SAMN03253786
G3891.1	SAMN03253787
G3892.1	SAMN03253788
G3893.1	SAMN03253790
G3894.1	SAMN03253791
G3895.1	SAMN03253792
G3896.1	SAMN03253793
G3900.1	SAMN03253794
G3901.2	SAMN03253796
G3906.1	SAMN03253797
G3907.1	SAMN03253799
G3908.1	SAMN03253803
G3909.1	SAMN03253804
G3910.1	SAMN03253806
G3911.1	SAMN03253809
G3913.1	SAMN03253812
G3915.1	SAMN03253814
G3917.1	SAMN03253816
G3936.1	SAMN03253820
G3937.1	SAMN03253823
G3939.1	SAMN03253825
G3940.1	SAMN03253826
G3943.1	SAMN03253827
G4225.5	SAMN03253913
G4386.3	SAMN03253956
G4485.2	SAMN03253982
G4495.3	SAMN03253983
G4496.5	SAMN03253984
G4518.3	SAMN03253985
G4555.2	SAMN03253987
G4561.2	SAMN03253988
G4583.2	SAMN03253989
G4649.1	SAMN03253990
G4683.1	SAMN03253991
G4690.1	SAMN03253992
G4697.1	SAMN03253993
G4698.1	SAMN03253994
G4699.1	SAMN03253995
G4700.1	SAMN03253996
G4701.1	SAMN03253997
G4702.1	SAMN03253998
G4704.1	SAMN03253999
G4715.1	SAMN03254000
G4715.3	SAMN03254001
G4717.1	SAMN03254002
G4718.1	SAMN03254003
G4719.1	SAMN03254004
G4724.1	SAMN03254005
G4725.1	SAMN03254006
G4726.1	SAMN03254007
G4727.1	SAMN03254008
G4730.1	SAMN03254009
G4731.1	SAMN03254010
G4733.1	SAMN03254011
G4736.1	SAMN03254012
G4744.1	SAMN03254013
G4748.1	SAMN03254014
G4750.1	SAMN03254015
G4751.1	SAMN03254016
G4753.2	SAMN03254017
G4763.2	SAMN03254018
G4769.1	SAMN03254019
G4789.1	SAMN03254020
G4812.2	SAMN03254021
G4818.3	SAMN03254022
G4845.3	SAMN03254024
G4849.1	SAMN03254025
G4850.1	SAMN03254028
G4852.1	SAMN03254029
G4856.1	SAMN03254030
G4858.1	SAMN03254031
G4861.1	SAMN03254032
G4868.1	SAMN03254033
G4875.2	SAMN03254034
G4875.3	SAMN03254035
G4876.2	SAMN03254036
G4880.2	SAMN03254037
G4886.1	SAMN03254038
G4896.1	SAMN03254039
G4907.1	SAMN03254040
G4909.2	SAMN03254041
G4929.1	SAMN03254042
G4929.2	SAMN03254043
G4931.1	SAMN03254044
G4937.1	SAMN03254045
G4942.1	SAMN03254046
G4946.1	SAMN03254047
G4950.2	SAMN03254048
G4955.1	SAMN03254049
G4956.1	SAMN03254050
G4956.2	SAMN03254051
G4960.1	SAMN03254052
G4969.1	SAMN03254053
G4971.1	SAMN03254054
G4979.2	SAMN03254058
G4983.1	SAMN03254061
G4990.3	SAMN03254062
G4994.1	SAMN03254063
G4996.1	SAMN03254064
G4999.1	SAMN03254065
G5008.1	SAMN03254066
G5012.2	SAMN03254067
G5012.3	SAMN03254068
G5013.1	SAMN03254069
G5016.1	SAMN03254070
G5019.1	SAMN03254071
G5020.1	SAMN03254072
G5021.1	SAMN03254073
G5021.4	SAMN03254074
G5039.1	SAMN03254077
G5044.1	SAMN03254078
G5045.1	SAMN03254079
G5045.2	SAMN03254080
G5059.1	SAMN03254081
G5064.1	SAMN03254082
G5103.1	SAMN03254083
G5107.1	SAMN03254084
G5109.1	SAMN03254085
G5112.1	SAMN03254086
G5112.2	SAMN03254087
G5114.1	SAMN03254088
G5115.1	SAMN03254089
G5117.1	SAMN03254090
G5118.1	SAMN03254091
G5119.1	SAMN03254092
G5125.1	SAMN03254093
G5178.4	SAMN03254095
G5212.1	SAMN03254096
G5221.1	SAMN03254097
G5223.1	SAMN03254098
G5226.3	SAMN03254099
G5226.4	SAMN03254100
G5236.2	SAMN03254102
G5265.2	SAMN03254108
G5296.1	SAMN03254111
G5301.3	SAMN03254112
G5301.4	SAMN03254113
G5305.1	SAMN03254115
G5320.1	SAMN03254116
G5361.1	SAMN03254117
G5364.1	SAMN03254118
G5370.1	SAMN03254119
G5371.1	SAMN03254121
G5375.1	SAMN03254122
G5382.2	SAMN03254124
G5412.2	SAMN03254131
G5431.2	SAMN03254132
G5434.2	SAMN03254133
G5462.2	SAMN03254135
G5466.2	SAMN03254136
G5502.1	SAMN03254142
G5502.3	SAMN03254143
G5510.1	SAMN03254145
G5522.1	SAMN03254148
G5527.1	SAMN03254149
G5528.1	SAMN03254151
G5529.1	SAMN03254152
G5533.1	SAMN03254154
G5565.1	SAMN03254155
G5568.1	SAMN03254157
G5570.1	SAMN03254159
