"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX824428","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5684.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804044","","97.11","1","832918","168249436","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824428","G5684.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824427","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5855.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804045","","19.19","1","197467","39888334","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824427","G5855.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824426","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3917.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804043","","131.48","1","1107333","223681266","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824426","G3917.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824425","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4956.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804042","","242.25","1","3327093","672072786","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824425","G4956.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824424","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3840.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804041","","118.96","1","1019309","205900418","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824424","G3840.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824423","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4876.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804040","","226.44","1","3125629","631377058","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824423","G4876.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824422","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5897.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804039","","157.85","1","1452937","293493274","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824422","G5897.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824421","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4719.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804038","","127.17","1","1692061","341796322","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824421","G4719.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824420","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G6104.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804037","","97.14","1","840117","169703634","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824420","G6104.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824419","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLKEN0009.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804036","","178.95","1","1606829","324579458","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824419","SLKEN0009.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
