Accession,Virus,Strain,Location,Country,Day,Month,Year,Pubmed_Citation,Source_Link
KC545393,BDBV,EboBund-112,Isiro,DRC,,,2012,23711383, 
KC545394,BDBV,EboBund-120,Isiro,DRC,,,2012,23711383, 
KC545395,BDBV,EboBund-122,Isiro,DRC,,,2012,23711383, 
KC545396,BDBV,EboBund-14,Isiro,DRC,,,2012,23711383,
FJ217161,BDBV,Bundibugyo,Bundibugyo,Uganda,,11,2007,19023410, 
AF272001,EBOV,Mayinga,Yambuku,DRC,,,1976,10073695, 
KC242801,EBOV,deRoover,,DRC,,,1976,23255795, 
KC242791,EBOV,Bonduni,Tandala,DRC,,,1977,23255795, 
KC242792,EBOV,Gabon,Mekouka,Gabon,,,1994,23255795, 
AY354458,EBOV,Zaire,Kikwit,DRC,,,1995,"	", 
KC242796,EBOV,13625Kikwit,Kikwit,DRC,,,1995,23255795, 
KC242799,EBOV,13709Kikwit,Kikwit,DRC,,,1995,23255795, 
KC242793,EBOV,1Eko,,Gabon,,,1996,23255795, 
KC242794,EBOV,2Nza,,Gabon,,,1996,23255795, 
KC242795,EBOV,1Mbie,,Gabon,,,1996,23255795, 
KC242797,EBOV,1Oba,,Gabon,,,1996,23255795, 
KC242798,EBOV,1Ikot,,Gabon,,,1996,23255795, 
KC242800,EBOV,Ilembe,Elombe,Gabon,,,2002,23255795, 
KC242784,EBOV,Luebo9,Luebo,DRC,,,2007,23255795, 
KC242785,EBOV,Luebo0,Luebo,DRC,,,2007,23255795, 
KC242786,EBOV,Luebo1,Luebo,DRC,,,2007,23255795, 
KC242787,EBOV,Luebo23,Luebo,DRC,,,2007,23255795, 
KC242788,EBOV,Luebo43,Luebo,DRC,,,2007,23255795, 
KC242789,EBOV,Luebo4,Luebo,DRC,,,2007,23255795, 
KC242790,EBOV,Luebo5,Luebo,DRC,,,2007,23255795, 
KJ660346,EBOV,Kissidougou-C15,Kissidougou,Guinea,,,2014,N. Engl. J. Med. (2014) In press, 
KJ660347,EBOV,Gueckedou-C07,Gueckedou,Guinea,,,2014,N. Engl. J. Med. (2014) In press, 
KJ660348,EBOV,Gueckedou-C05,Gueckedou,Guinea,,,2014,N. Engl. J. Med. (2014) In press, 
JQ352763,EBOV,Kikwit,Kikwit,DRC,4,5,1995, , 
HQ613403,EBOV,M-M,,DRC,31,8,2007, , 
HQ613402,EBOV,034-KS,,DRC,31,12,2008, , 
AF522874,RESTV,Pennsylvania,,Philippines,,,1990,12191779, 
AB050936,RESTV,Reston,,Philippines,,,1996, , 
JX477166,RESTV,Alice TX USA MkCQ8167,,Philippines,,,1996,23255795, 
FJ621583,RESTV,Reston08-A,,Philippines,,,2008,19590002, 
FJ621584,RESTV,Reston08-C,,Philippines,,,2008,19590002, 
FJ621585,RESTV,Reston08-E,,Philippines,,,2008,19590002, 
JX477165,RESTV,Reston09-A,,Philippines,,,2009,23255795, 
KC242783,SUDV,Maleo,Maleo,Sudan,,,1979,23255795, 
AY729654,SUDV,"Gulu	Gulu",,Uganda,,,2000, , 
EU338380,SUDV,Yambio,Yambio,South Sudan,,,2004, , 
FJ968794,SUDV,Boniface,,Sudan,,,1976, , 
KC545389,SUDV,EboSud-602,Kibaale,Uganda,,,2012,23711383, 
KC545390,SUDV,EboSud-603,Kibaale,Uganda,,,2012,23711383, 
KC545391,SUDV,EboSud-609,Kibaale,Uganda,,,2012,23711383, 
KC545392,SUDV,EboSud-682,Kibaale,Uganda,,,2012,23711383, 
KC589025,SUDV,EboSud-639,Luwero,Uganda,,,2012,23711383, 
JN638998,SUDV,Nakisamata,Nakisimata,Uganda,,5,2011,22931687, 
FJ217162,TAFV,Cote_dIvoire,Tai Forest,Ivory Coast,,11,1994,19023410, 
